       wavelength    coef1       coef2         coef3       coef4
       white          0.00000     0.847989     -1.05762     0.414449
       5.0000000      0.00000      1.06757     -1.35417     0.534609
       5.0500000      0.00000      1.07834     -1.36645     0.539164
       5.1000000      0.00000      1.05734     -1.33871     0.528105
       5.1500000      0.00000      1.06049     -1.33885     0.527396
       5.2000000      0.00000      1.08065     -1.36452     0.537256
       5.2500000      0.00000      1.05937     -1.33638     0.526071
       5.3000000      0.00000      1.04650     -1.31499     0.516766
       5.3500000      0.00000      1.06373     -1.33881     0.526410
       5.4000000      0.00000      1.05063     -1.31987     0.518840
       5.4500000      0.00000      1.05678     -1.33332     0.525186
       5.5000000      0.00000      1.05440     -1.32408     0.520283
       5.5500000      0.00000      1.04967     -1.31372     0.515623
       5.6000000      0.00000      1.05115     -1.30814     0.511644
       5.6500000      0.00000      1.05813     -1.32523     0.519977
       5.7000000      0.00000      1.05694     -1.32198     0.518159
       5.7500000      0.00000      1.05836     -1.32865     0.522181
       5.8000000      0.00000      1.06184     -1.33456     0.524684
       5.8500000      0.00000      1.05679     -1.32940     0.523301
       5.9000000      0.00000      1.07180     -1.35053     0.531538
       5.9500000      0.00000      1.07950     -1.36256     0.536667
       6.0000000      0.00000      1.08765     -1.36744     0.537220
       6.0500000      0.00000      1.08246     -1.36341     0.536204
       6.1000000      0.00000      1.09601     -1.38696     0.546747
       6.1500000      0.00000      1.12110     -1.42619     0.563267
       6.2000000      0.00000      1.11721     -1.42370     0.562899
       6.2500000      0.00000      1.10665     -1.40779     0.556222
       6.3000000      0.00000      1.11607     -1.42446     0.563614
       6.3500000      0.00000      1.08979     -1.38377     0.546297
       6.4000000      0.00000      1.07206     -1.35965     0.536664
       6.4500000      0.00000      1.01877     -1.28044     0.503282
       6.5000000      0.00000     0.942267     -1.16882     0.457284
       6.5500000      0.00000     0.921546     -1.14384     0.447849
       6.6000000      0.00000     0.872238     -1.07744     0.421286
       6.6500000      0.00000     0.833732     -1.01012     0.391380
       6.7000000      0.00000     0.863859     -1.05750     0.411182
       6.7500000      0.00000     0.844411     -1.02679     0.398091
       6.8000000      0.00000     0.830204     -1.01366     0.393909
       6.8500000      0.00000     0.830085     -1.00922     0.391184
       6.9000000      0.00000     0.841293     -1.02824     0.399580
       6.9500000      0.00000     0.817889    -0.995511     0.386319
       7.0000000      0.00000     0.836650     -1.01908     0.395308
       7.0500000      0.00000     0.852508     -1.04761     0.408153
       7.1000000      0.00000     0.827409     -1.00741     0.390760
       7.1500000      0.00000     0.850434     -1.04194     0.405248
       7.2000000      0.00000     0.849250     -1.04121     0.404921
       7.2500000      0.00000     0.844508     -1.04521     0.409016
       7.3000000      0.00000     0.846349     -1.03770     0.403902
       7.3500000      0.00000     0.820705     -1.00439     0.390670
       7.4000000      0.00000     0.858145     -1.05933     0.413458
       7.4500000      0.00000     0.836618     -1.03215     0.403026
       7.5000000      0.00000     0.881451     -1.09350     0.427448
       7.5500000      0.00000     0.853268     -1.05226     0.410230
       7.6000000      0.00000     0.807543    -0.987799     0.383932
       7.6500000      0.00000     0.825584     -1.01908     0.398160
