 Teff  logg  FeH    profile            filter         wave_min wave_eff wave_max   c1    e1    c2     e2    c3    e3 
------ ---- ----- ----------- ----------------------- -------- -------- -------- ----- ----- ------ ----- ----- -----
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     5.87      5.9     5.92 0.642 0.013 -0.703 0.025 0.265 0.013
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     5.94     5.97    5.996 0.641 0.013 -0.706 0.026 0.267 0.013
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     6.01     6.04    6.066 0.634 0.012 -0.697 0.022 0.263 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.082     6.11    6.137  0.63 0.012 -0.697 0.024 0.265 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.156     6.18    6.207 0.627 0.012 -0.694 0.024 0.265 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.227    6.254    6.277 0.619 0.012 -0.685 0.023 0.261 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.297    6.324     6.35 0.616 0.011 -0.682 0.021 0.261 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.367    6.395     6.42 0.609 0.011 -0.673 0.021 0.257 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.438    6.465    6.492 0.605 0.011 -0.671 0.021 0.256 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     6.51    6.535    6.562 0.602 0.011 -0.668 0.021 0.256 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.582     6.61    6.633 0.599 0.011 -0.665 0.022 0.255 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.652     6.68    6.707 0.604 0.012 -0.682 0.022 0.266 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.723     6.75    6.777 0.598 0.011 -0.674 0.021 0.262 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.793     6.82    6.848 0.588  0.01  -0.66 0.019 0.255  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.863     6.89    6.918 0.582 0.009 -0.651 0.018 0.251 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    6.938     6.96     6.99 0.576 0.009 -0.644 0.018 0.248 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.008    7.035     7.06 0.569 0.009 -0.632 0.018 0.242 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.08    7.105    7.133 0.562 0.009 -0.623 0.018 0.238 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.15    7.176    7.203 0.559  0.01 -0.624 0.018  0.24 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.22    7.246    7.273 0.556 0.011 -0.621 0.021  0.24 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.293    7.316    7.344 0.555 0.011 -0.624 0.022 0.242 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.363     7.39    7.414 0.555 0.012 -0.628 0.022 0.245 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.434     7.46     7.49 0.549  0.01 -0.619  0.02 0.241  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.504     7.53     7.56 0.547 0.011 -0.621 0.021 0.243 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    7.574      7.6     7.63 0.546 0.012 -0.625 0.022 0.247 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.65     7.67      7.7 0.545 0.012 -0.623 0.022 0.246 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.72    7.746     7.77 0.536 0.011 -0.608 0.021 0.238 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.79    7.816    7.844 0.527  0.01 -0.593 0.019  0.23  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.86    7.887    7.914 0.523 0.009 -0.588 0.018 0.229 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     7.93    7.957    7.984 0.524 0.011 -0.595 0.021 0.233 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER      8.0     8.03    8.055 0.513  0.01 -0.575 0.019 0.222  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.07      8.1    8.125 0.506 0.008 -0.564 0.016 0.217 0.008
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.14     8.17    8.195 0.505 0.009 -0.566 0.016 0.219 0.008
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.22     8.24    8.266 0.506  0.01 -0.573 0.019 0.224  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.29     8.31    8.336 0.504 0.008 -0.572 0.016 0.223 0.008
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.36     8.38    8.414 0.502 0.009 -0.572 0.017 0.224 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.43     8.45    8.484 0.503 0.011 -0.576 0.022 0.228 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER      8.5     8.52    8.555 0.504 0.011 -0.584 0.022 0.233 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.57     8.59    8.625 0.491 0.008 -0.556 0.015 0.217 0.008
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.64    8.664    8.695 0.478 0.008 -0.532 0.015 0.204 0.008
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.71     8.74    8.766 0.479 0.012 -0.541 0.024 0.211 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.78     8.81    8.836 0.484 0.011 -0.553 0.021 0.218 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.85     8.88     8.91 0.483 0.011 -0.553 0.021 0.218 0.011
